"","Sp","Pot_Area","Hab_Area","BAU_Area","Hab_perc","BAU_perc","Ext_015","Ext_025","Ext_035"
"92","Cissus inundata",832735.199345292,392575.165405638,654291.94234273,0.471428571428571,0.785714285714286,0.035527836887506,0.05850902265188,0.0809426188441169
"93","Cleistes aphylla",3699723.5285198,2260281.25536579,3009742.93477656,0.610932475884244,0.813504823151125,0.0304861449881683,0.0502921384740361,0.069693519508071
"94","Comanthera brasiliana",11896.2171335042,11896.2171335042,11896.2171335042,1,1,0,0,0
"95","Comanthera elegans",1605989.31302306,1034970.89061486,1498923.35882153,0.644444444444444,0.933333333333333,0.0102955647915847,0.0171003189138295,0.0238582866652982
"96","Constantia cipoensis",1487027.14168802,1011178.45634785,1451338.49028751,0.68,0.976,0.00363727292423399,0.00605476870288391,0.00846639886083078
"97","Croton leptobotryus",499641.119607175,154650.822735554,166547.039869058,0.30952380952381,0.333333333333333,0.151929782786317,0.240164314348407,0.31921878935155
"98","Cryptanthus caracensis",1475130.92455452,1011178.45634785,1439442.27315401,0.685483870967742,0.975806451612903,0.00366691339357683,0.00610404913428586,0.00853522338410551
"99","Cryptanthus glazioui",1475130.92455452,1011178.45634785,1439442.27315401,0.685483870967742,0.975806451612903,0.00366691339357683,0.00610404913428586,0.00853522338410551
"100","Cryptanthus minarum",107065.954201538,35688.6514005125,107065.954201538,0.333333333333333,1,0,0,0
"101","Cuphea adenophylla",35688.6514005125,23792.4342670083,35688.6514005125,0.666666666666667,1,0,0,0
"102","Cuphea cipoensis",1487027.14168802,1011178.45634785,1451338.49028751,0.68,0.976,0.00363727292423399,0.00605476870288391,0.00846639886083078
"103","Cuphea cuiabensis",2058045.56409622,963593.587813838,1308583.88468546,0.468208092485549,0.635838150289017,0.0656663563000917,0.107030458880672,0.146563321631848
"104","Cuphea rubro-virens",142754.60560205,83273.5199345292,142754.60560205,0.583333333333333,1,0,0,0
"105","Cuphea teleandra",737565.462277259,392575.165405638,654291.94234273,0.532258064516129,0.887096774193548,0.017809679135419,0.0295062340644481,0.0410634988841149
"106","Cyanocephalus caprariifolius",1546508.22735554,499641.119607175,547225.988141192,0.323076923076923,0.353846153846154,0.144298739156649,0.228735006545317,0.304839530629663
"107","Cyanocephalus digitatus",4044713.82539142,2962158.06624254,3675931.09425279,0.732352941176471,0.908823529411765,0.0142383137486228,0.0236177163387851,0.0329078750537031
"108","Cyanocephalus tagetifolius",475848.685340167,404471.382539142,463952.468206663,0.85,0.975,0.0037904691642503,0.00630946320970982,0.00882208778087257
"109","Cyrtopodium caiapoense",3997128.9568574,1820121.22142614,2260281.25536579,0.455357142857143,0.56547619047619,0.0819588495521613,0.132831325866877,0.18088474679924
"110","Cyrtopodium latifolium",820838.982211788,261716.776937092,309301.645471109,0.318840579710145,0.376811594202899,0.136189182159593,0.216514317906925,0.289370078069267
"111","Cyrtopodium linearifolium",3545072.70578424,2712337.50643895,3283355.92884715,0.765100671140939,0.926174496644295,0.0114379763484224,0.0189905193546527,0.0264853614736386
"112","Cyrtopodium triste",820838.982211788,261716.776937092,309301.645471109,0.318840579710145,0.376811594202899,0.136189182159593,0.216514317906925,0.289370078069267
"113","Digitaria neesiana",4425392.77366355,1724951.48435811,1927187.17562768,0.389784946236559,0.435483870967742,0.117233566292736,0.18765031076753,0.252450033895461
"114","Dimerostemma grazielae",5305712.84154286,3259563.49458014,4520562.51073159,0.614349775784753,0.852017937219731,0.0237359195098286,0.0392460371745085,0.054509742260072
"115","Diplusodon aggregatifolius",392575.165405638,214131.908403075,368782.731138629,0.545454545454546,0.939393939393939,0.00933421674468626,0.0155085733257401,0.0216444480294197
"116","Diplusodon ericoides",582914.639541705,368782.731138629,523433.553874184,0.63265306122449,0.897959183673469,0.0160149741018517,0.0265488800362467,0.0369700168010769
"117","Diplusodon glaziovii",71377.3028010251,59481.0856675209,71377.3028010251,0.833333333333333,1,0,0,0
"118","Diplusodon gracilis",107065.954201538,107065.954201538,107065.954201538,1,1,0,0,0
"119","Diplusodon hatschbachii",868423.850745805,642395.725209225,808942.765078284,0.73972602739726,0.931506849315068,0.0105863266026348,0.0175815428921232,0.0245273025667978
"120","Diplusodon minasensis",737565.462277259,535329.771007688,713773.02801025,0.725806451612903,0.967741935483871,0.00490639753945699,0.00816394818703559,0.0114108348767762
"121","Diplusodon orbicularis",1570300.66162255,1142036.8448164,1498923.35882153,0.727272727272727,0.954545454545454,0.00695371261763256,0.0115626368259877,0.0161501701056134
"122","Diplusodon panniculatus",107065.954201538,107065.954201538,83273.5199345292,1,0.777777777777778,0.0369954710563242,0.0608955842462475,0.0842025378057404
"123","Diplusodon retroimbricatus",904112.502146317,380678.948272134,773254.113677771,0.421052631578947,0.855263157894737,0.0231790516868852,0.0383324956151595,0.0532508638488718
"124","Diplusodon villosissimus",797046.54794478,285509.2112041,535329.771007688,0.358208955223881,0.671641791044776,0.0579571521907001,0.0947168691165015,0.130042174867049
"125","Discocactus catingicola",3580761.35718476,2533894.24943639,2807507.24350699,0.707641196013289,0.784053156146179,0.0358339700457219,0.0590070344512563,0.081623150263644
"126","Discocactus horstii",559122.205274696,297405.428337604,511537.33674068,0.531914893617021,0.914893617021277,0.0132535113074078,0.0219914547432228,0.0306520210042899
"127","Discocactus pseudoinsignis",689980.593743242,380678.948272134,618603.290942217,0.551724137931034,0.896551724137931,0.0162464728015578,0.0269305508094508,0.0374985941402396
"128","Disynaphia praeficta",1498923.35882153,999282.239214351,1427546.0560205,0.666666666666667,0.952380952380952,0.00729180943572039,0.0121234525769259,0.0169315794666631
"129","Ditassa auriflora",309301.645471109,142754.60560205,285509.2112041,0.461538461538462,0.923076923076923,0.0119346168544164,0.0198117921386103,0.0276261680458436
"130","Ditassa cipoensis",1665470.39869058,1142036.8448164,1605989.31302306,0.685714285714286,0.964285714285714,0.00544029433269577,0.00905070459585788,0.0126480084942698
"131","Ditassa itambensis",166547.039869058,130858.388468546,166547.039869058,0.785714285714286,1,0,0,0
"132","Dyckia rariflora",1736847.70149161,1165829.27908341,1665470.39869058,0.671232876712329,0.958904109589041,0.00627486018497603,0.01043621065293,0.014580134936295
"133","Echinocoryne echinocephala",4746590.63626817,3021639.15191006,4044713.82539142,0.636591478696742,0.852130325814536,0.0237166039309921,0.0392143557854422,0.0544660926881793
"134","Eduandrea selloana",1522715.79308853,1034970.89061486,1487027.14168802,0.6796875,0.9765625,0.00355115866124267,0.00591158904118672,0.00826642793329158
"135","Encholirium biflorum",1713055.2672246,1153933.06194991,1653574.18155708,0.673611111111111,0.965277777777778,0.00528687996274402,0.00879592907785487,0.0122925993216668
"136","Encholirium disjunctum",249820.559803588,130858.388468546,154650.822735554,0.523809523809524,0.619047619047619,0.0694095129798129,0.112984897270941,0.154519841494602
"137","Encholirium heloisae",1736847.70149161,1177725.49621691,1677366.61582409,0.678082191780822,0.965753424657534,0.00521337265499311,0.00867384607731081,0.0121222818666554
"138","Encholirium luxor",1950979.60989468,1189621.71335042,1403753.62175349,0.609756097560976,0.719512195121951,0.0481780324010932,0.0790001916718718,0.10882425935152
"139","Encholirium pedicellatum",689980.593743242,511537.33674068,666188.159476234,0.741379310344828,0.96551724137931,0.00524986898802571,0.00873446096364527,0.0122068464756936
"140","Encholirium scrutor",154650.822735554,118962.171335042,154650.822735554,0.769230769230769,1,0,0,0
"141","Encholirium vogelii",1487027.14168802,1011178.45634785,1451338.49028751,0.68,0.976,0.00363727292423399,0.00605476870288391,0.00846639886083078
"142","Eremanthus argenteus",3545072.70578424,2712337.50643895,3283355.92884715,0.765100671140939,0.926174496644295,0.0114379763484224,0.0189905193546527,0.0264853614736386
"143","Eriope crassipes_subsp._cristalinae",749461.679410763,321197.862604613,380678.948272134,0.428571428571429,0.507936507936508,0.096618038709769,0.155786374725095,0.211079393170627
"144","Eriope machrisae",3640242.44285228,2748026.15783946,3354733.23164818,0.754901960784314,0.92156862745098,0.0121769580877146,0.0202124413978005,0.0281825597697477
"145","Esenbeckia irwiniana",1427546.0560205,904112.502146317,1320480.10181896,0.633333333333333,0.925,0.0116261194619599,0.0193016758026109,0.0269176249781004
"146","Esterhazya caesarea",1582196.87875606,1094451.97628238,1510819.57595503,0.691729323308271,0.954887218045113,0.00690038849235186,0.0114741741801676,0.0160268949966698
"147","Eugenia blanda",654291.94234273,321197.862604613,571018.4224082,0.490909090909091,0.872727272727273,0.0202127533573283,0.0334604338187559,0.0465289927023006
"148","Euplassa incana",2093734.21549673,1368064.97035298,1843913.65569315,0.653409090909091,0.880681818181818,0.0188783605265983,0.0312655204278443,0.0434962861326466
"149","Evolvulus glaziovii",1058763.32488187,749461.679410763,1023074.67348136,0.707865168539326,0.966292134831461,0.0051301565885834,0.00853563123966905,0.0119294488306115
"150","Evolvulus kramerioides",1296687.66755195,416367.599672646,428263.81680615,0.321100917431193,0.330275229357798,0.153101428305276,0.241913084710803,0.321411335028384
"151","Evolvulus rariflorus",6388268.60069174,3901959.21978937,4853656.5904697,0.610800744878957,0.759776536312849,0.0403720656365613,0.0663771564110298,0.0916775316160866
"152","Evolvulus riedelii",1724951.48435811,166547.039869058,463952.468206663,0.096551724137931,0.268965517241379,0.178789505494821,0.279848033077295,0.368470253445635
"153","Fridericia crassa",963593.587813838,606707.073808713,654291.94234273,0.62962962962963,0.679012345679012,0.0564136481009149,0.0922433948895,0.126712618868116
"154","Froelichiella grisea",166547.039869058,107065.954201538,118962.171335042,0.642857142857143,0.714285714285714,0.0492183426538935,0.0806772847750815,0.111095330669741
"155","Galianthe souzae",107065.954201538,0,47584.8685340167,0,0.444444444444444,0.114532506704444,0.183503419072274,0.247102043028763
"156","Gaylussacia centunculifolia",368782.731138629,273612.994070596,333094.079738117,0.741935483870968,0.903225806451613,0.0151514481972809,0.0251246609832707,0.0349968785724939
"157","Gaylussacia oleifolia",1903394.74136067,1201517.93048392,1843913.65569315,0.63125,0.96875,0.00475098295367515,0.00790575838205965,0.0110505336920484
"158","Gochnatia rotundifolia",452056.251073159,71377.3028010251,142754.60560205,0.157894736842105,0.315789473684211,0.158779887792397,0.250365764556463,0.331980442699718
"159","Gomphrena paranensis",178443.257002563,47584.8685340167,130858.388468546,0.266666666666667,0.733333333333333,0.0454576225325105,0.0746088186190257,0.102869753305592
"160","Gomphrena regeliana",452056.251073159,71377.3028010251,83273.5199345292,0.157894736842105,0.184210526315789,0.22411533824184,0.344868305117608,0.446828170740079
"161","Gouania inornata",1808225.00429263,511537.33674068,547225.988141192,0.282894736842105,0.302631578947368,0.16413308291027,0.258299518525045,0.341857426137221
"162","Goyazia petraea",1832017.43855964,963593.587813838,1284791.45041845,0.525974025974026,0.701298701298701,0.0518316482821474,0.0848848218073182,0.116785760839421
"163","Griffinia aracensis",118962.171335042,35688.6514005125,71377.3028010251,0.3,0.6,0.0737618014548876,0.119888263206607,0.163717637149731
"164","Griffinia nocturna",333094.079738117,261716.776937092,273612.994070596,0.785714285714286,0.821428571428571,0.029075476242607,0.0479879374845266,0.0665320063525024
"165","Grobya cipoensis",1487027.14168802,1011178.45634785,1451338.49028751,0.68,0.976,0.00363727292423399,0.00605476870288391,0.00846639886083078
"166","Gymnopogon doellii",820838.982211788,261716.776937092,309301.645471109,0.318840579710145,0.376811594202899,0.136189182159593,0.216514317906925,0.289370078069267
"167","Habranthus irwinianus",1522715.79308853,1034970.89061486,1475130.92455452,0.6796875,0.96875,0.00475098295367515,0.00790575838205954,0.0110505336920484
"168","Hadrolaelia brevipedunculata",1665470.39869058,1142036.8448164,1605989.31302306,0.685714285714286,0.964285714285714,0.00544029433269577,0.00905070459585788,0.0126480084942698
"169","Hadrolaelia jongheana",963593.587813838,654291.94234273,927904.936413326,0.679012345679012,0.962962962962963,0.00564505565273254,0.00939071126638613,0.0131222572946691
"170","Hemipogon abietoides",95169.7370680334,95169.7370680334,95169.7370680334,1,1,0,0,0
